-11.059176	3.512883	4.418220
-9.673399	4.044289	4.253094
-7.320697	3.787080	2.825321
-6.672740	3.829840	1.394622
-6.604613	3.425087	-0.800273
-7.296504	3.383116	-2.533231
-8.677896	3.640074	-4.493743
-10.065762	3.508999	-4.913006
-12.136453	3.355783	-4.991761
-14.242546	3.661445	-4.442107
-15.605563	3.477585	-2.381390
-15.872579	3.319812	-0.750275
-15.928401	3.644644	1.357068
-14.873979	3.716378	2.960471
-13.288778	3.416818	3.987414
11.778702	3.401393	-0.451256
11.056639	6.109902	-0.592193
9.767080	8.204863	-0.473468
7.140577	9.114285	-0.233917
4.912468	9.755665	-0.575986
2.341775	8.735551	-0.301358
0.328925	7.253019	-0.149653
-0.701924	4.727598	-0.165476
-0.416099	2.290828	-0.121612
0.539196	-0.068614	-0.333255
2.353096	-1.808696	-0.276212
4.591209	-2.286783	-0.269431
7.527898	-2.437508	-0.344064
9.643542	-1.089942	-0.250708
11.187654	1.202300	-0.148680
