-10.824970	3.513942	4.418480
-9.439193	4.045349	4.253354
-7.086491	3.788140	2.825581
-6.438534	3.830899	1.394882
-6.370407	3.426147	-0.800013
-7.062298	3.384175	-2.532971
-8.443690	3.641134	-4.493483
-9.831557	3.510058	-4.912746
-11.902247	3.356843	-4.991501
-14.008340	3.662505	-4.441847
-15.371357	3.478645	-2.381130
-15.638373	3.320871	-0.750015
-15.694195	3.645704	1.357328
-14.639773	3.717437	2.960731
-13.054573	3.417877	3.987674
11.229405	3.483436	-0.193249
10.810332	5.853412	-0.331830
9.358004	8.275284	-0.170890
7.165037	9.149708	-0.528342
4.579953	9.461986	-0.218278
2.375939	8.603351	-0.551766
0.254174	7.364067	-0.283387
-0.960835	4.684589	-0.341744
-0.769229	2.488375	-0.328705
0.372838	-0.217528	-0.110634
2.058873	-1.827724	-0.164156
4.689689	-2.424572	-0.417994
7.324284	-2.336382	-0.165092
9.506131	-0.702339	-0.311035
10.543056	1.232307	-0.574067
