-9.331564	3.485076	4.434330
-7.945787	4.016483	4.269205
-5.593085	3.759274	2.841432
-4.945127	3.802033	1.410733
-4.877001	3.397281	-0.784162
-5.568892	3.355309	-2.517121
-6.950284	3.612268	-4.477633
-8.338150	3.481192	-4.896896
-10.408841	3.327977	-4.975651
-12.514934	3.633639	-4.425996
-13.877951	3.449779	-2.365280
-14.144966	3.292006	-0.734165
-14.200789	3.616838	1.373178
-13.146367	3.688571	2.976581
-11.561166	3.389012	4.003525
10.017294	3.534366	-0.210853
9.243425	6.223836	-0.239982
7.835129	7.874573	-0.142852
5.511308	9.471095	-0.264644
3.336689	9.725021	-0.252652
0.655929	8.839190	-0.385921
-1.346238	7.274478	-0.558117
-1.980702	4.898801	-0.467799
-2.130359	2.344637	-0.301148
-1.098994	-0.156037	-0.120185
0.551289	-1.654732	-0.562149
2.914972	-2.697353	-0.418891
5.580026	-2.181680	-0.310157
7.740902	-1.016143	-0.414725
9.305887	1.040903	-0.278851
